Timestamp;TimeFormatted;UUID/Namespace;Major/Instance;Minor;TX;RSSI;Distance
1494830611373;2017-05-15 13:43:31;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-95;3.967270471955681
1494830612681;2017-05-15 13:43:32;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.4290277186438685
1494830612681;2017-05-15 13:43:32;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-96;3.775354588870523
1494830613842;2017-05-15 13:43:33;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.4133634659124708
1494830613842;2017-05-15 13:43:33;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-94;4.05145138383587
1494830613842;2017-05-15 13:43:33;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-96;3.853230234079618
1494830614952;2017-05-15 13:43:34;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.385351616971649
1494830614953;2017-05-15 13:43:34;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-97;3.990478377169554
1494830616141;2017-05-15 13:43:36;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.366807661936096
1494830616141;2017-05-15 13:43:36;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-94;4.130170428331037
1494830617285;2017-05-15 13:43:37;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-89;3.3565503997531048
1494830619631;2017-05-15 13:43:39;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.385351616971649
1494830620814;2017-05-15 13:43:40;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.3709195429295136
1494830620814;2017-05-15 13:43:40;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-88;4.292162867685625
1494830620814;2017-05-15 13:43:40;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-93;4.513753807673981
1494830621996;2017-05-15 13:43:41;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-94;3.3709195429295136
1494830621997;2017-05-15 13:43:41;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-95;4.431910396289597
1494830621997;2017-05-15 13:43:41;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-99;5.719997038882001
1494830621997;2017-05-15 13:43:41;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-89;4.513753807673981
1494830624377;2017-05-15 13:43:44;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-96;4.391534146306549
1494830625594;2017-05-15 13:43:45;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-95;3.4290277186438685
1494830625594;2017-05-15 13:43:45;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-94;4.35151794046257
1494830626831;2017-05-15 13:43:46;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.444765270038199
1494830626832;2017-05-15 13:43:46;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-95;4.311859103962001
1494830627958;2017-05-15 13:43:47;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.4605764051932733
